Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
2016YFB0201701,1,0,0,0,0,0,1,0,0,0,0
2016YFB0302400,1,0,0,0,0,0,1,0,1,0,100
"2016YFB0600901, 2017YFA0206900, 2017YFA0206904",1,0,0,1,0,0,2,50,1,0,100
"2016YFB0600901, 2017YFA0206900, 2017YFA0206904, 2018YFB1502002",3,2,0,0,0,0,5,40,3,0,100
2016YFB0800301,0,1,0,0,0,0,1,100,0,0,100
2016YFB1001202,1,0,0,0,0,0,1,0,0,1,100
2016YFB1101201,1,0,0,0,0,0,1,0,1,0,100
2016YFB1200602-16,5,0,0,0,0,0,5,0,5,0,100
2016YFC0207705,1,0,0,0,0,0,1,0,1,0,100
2016YFC1201700,0,0,0,0,0,1,1,100,0,0,100
2016YFC1305301,1,0,0,0,0,0,1,0,1,0,100
"2016YFD0401403, 2018YFD0401103",1,0,0,0,0,0,1,0,1,0,100
2016YFE0101800,2,0,0,0,0,4,6,66,2,0,100
2016YFE0121700,0,1,0,0,1,0,2,100,0,0,100
2016YFE0133700,1,0,0,0,0,0,1,0,0,0,0
2016YFF0204302,2,0,0,0,0,0,2,0,2,0,100
2017 CCF-IFAA Research Fund,1,0,0,0,0,0,1,0,0,1,100
"2017 Global Alliance for Chronic Diseases-Health Research Council Funding, HRC",1,1,0,0,0,0,2,50,1,0,100
2017-4613,1,0,0,0,0,0,1,0,1,0,100
2017-HZ-802,1,0,0,0,0,0,1,0,0,1,100
"2017-HZ-802, 2020-ZJ-904",1,0,0,0,0,0,1,0,1,0,100
2017-ZJ-Y20,1,0,0,0,0,0,1,0,1,0,100
2017010201010117,1,0,0,0,0,0,1,0,0,0,0
20170112,1,0,0,0,0,0,1,0,1,0,100
2017041032-2,1,0,0,0,0,0,1,0,1,0,100
2017050NC/NY007-3,1,0,0,0,0,0,1,0,1,0,100
201709P05,0,1,0,0,0,0,1,100,0,0,100
201711220211939,1,0,0,0,0,0,1,0,1,0,100
201752010040001,0,1,0,0,0,0,1,100,0,0,100
"2017AB02006, 79",0,1,0,0,0,0,1,100,0,0,100
2017DX15,1,0,0,0,0,0,1,0,1,0,100
2017GC03,1,0,0,0,0,0,1,0,1,0,100
2017GZQN33,0,1,0,0,0,0,1,100,0,0,100
2017KW-031,1,0,0,0,0,0,1,0,1,0,100
