Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Centre for Neuroendocrinology and Department of Physiology, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Neuroendocrinology, Department of Anatomy, Otago School of Medical Sciences, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Neuroendocrinology, Department of Anatomy, School of Biomedical Sciences, University of Otago",2,2,0,0,0,0,0,2,0,0%,1,0,50%
"Centre for Neuroendocrinology, Department of Anatomy, University of Otago",3,1,1,0,1,0,0,3,2,66%,1,0,100%
"Centre for Neuroendocrinology, Department of Physiology, School of Biomedical Sciences, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Centre for Neuroendocrinology, Department of Physiology, School of Medical Sciences, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Centre for Neuroendocrinology, Department of Physiology, University of Otago",4,1,2,0,1,0,0,4,3,75%,1,0,100%
"Centre for Neuroendocrinology, School of Biomedical Sciences, University of Otago",2,0,0,0,0,1,1,2,2,100%,0,0,100%
"Centre for Neuroendocrinology, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Centre for Pacific Health, Division of Health Sciences, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Pacific Health, University of Otago",2,2,0,0,0,0,0,2,0,0%,1,0,50%
"Centre for Pacific Health, Va'a o Tautai, University of Otago",1,0,0,0,0,0,1,0,0,,0,0,0%
"Centre for Physiotherapy Research, School of Physiotherapy, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Postgraduate Nursing Studies, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Protein Research, Department of Biochemistry, University of Otago",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Centre for Protein Research, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Recreation Research, Otago Business School, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Research Excellence in Early Prevention of Obesity in Childhood, University of Sydney, Sydney, NSW, Australia, Department of Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Centre for Rural and Remote Health, James Cook University, Mount Isa, Queensland  4825, Australia, School of Demography, The Australian National University, ACT- Canberra, Australia, Alfred Deakin Institute for Citizenship and Globalisation, Deakin UniversityVictoria  3220, Australia, Department of Public Health, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Science Communication, University of Otago",5,3,1,0,1,0,0,5,2,40%,3,0,100%
"Centre for Sport Policy and Politics, School of Physical Education, Sport and Exercise Sciences, University of Otago",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Centre for Sustainability, University of Otago",6,5,0,0,0,0,1,6,1,16%,4,1,100%
"Centre for Theology and Public Issues, University of Otago",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Centre for Trace Element Analysis and Department of Chemistry, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Trace Element Analysis, Chemistry Department, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Chemistry Department, University of Otago",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Children and the Courts, University of Baltimore, School of Law, Children's Law Center of California in Los AngelesAZ, United States, University of Otago",1,0,0,0,0,1,0,0,0,,0,0,0%
"Children's Health and NICU, Southern District Health Board, Dunedin, New Zealand, Department of Women's and Children's Health, University of Otago",1,0,1,0,0,0,0,0,0,,0,0,0%
"Children's Issues Centre, University of Otago",1,0,0,0,0,0,1,0,0,,0,0,0%
"Children's and Women's Health, University of Otago",1,1,0,0,0,0,0,0,0,,0,0,0%
"Christchurch Health and Development Study, Psychological Medicine, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Christchurch Health and Development Study, University of Otago",2,2,0,0,0,0,0,2,0,0%,1,1,100%
"Christchurch Heart Institute, Department of Medicine, University of Otago",6,3,2,0,0,0,1,6,3,50%,3,0,100%
"Christchurch Heart Institute, University of Otago",6,4,1,0,1,0,0,6,2,33%,2,2,100%
